,YEAR,CONF,TEAM NO,TEAM,SEED,ROUND,KADJ O,KADJ D,KADJ EM,BADJ O,BADJ D,BADJ EM,EFG%,EFG%D,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%
35,2023,B10,976,Michigan St.,7,16,113.4,96.6898,16.7099,111.6,95.0,16.6,51.6,48.1,25.8,28.6,16.4,14.7,27.4,74.8,25.2,72.6
36,2023,SEC,975,Mississippi St.,11,68,105.451,91.3344,14.1161,102.4,90.8,11.6,46.9,46.2,34.6,27.6,19.3,22.0,35.2,71.0,29.0,64.8
37,2023,SEC,974,Missouri,7,32,119.289,105.37,13.9186,117.5,103.8,13.7,55.1,52.3,29.5,35.2,16.0,24.3,26.8,62.7,37.3,73.2
38,2023,BSky,973,Montana St.,14,64,105.36,99.6121,5.74793,104.1,97.0,7.1,50.9,49.4,44.4,35.5,17.6,20.1,25.7,74.5,25.5,74.3
39,2023,MWC,972,Nevada,11,68,112.039,97.2466,14.7927,108.8,96.7,12.1,50.5,49.0,39.5,31.4,15.2,18.7,22.9,74.9,25.1,77.1
40,2023,ACC,971,North Carolina St.,11,64,113.894,100.589,13.3052,113.0,97.8,15.2,51.8,49.8,25.3,34.0,13.6,19.1,30.7,73.4,26.6,69.3
41,2023,Horz,970,Northern Kentucky,16,64,103.337,102.82,0.516867,101.1,101.1,0.0,49.8,51.3,27.4,30.8,17.5,23.2,31.3,67.2,32.8,68.7
42,2023,B10,969,Northwestern,7,32,108.511,93.6787,14.8321,106.6,91.7,14.9,47.2,48.4,29.7,31.6,14.8,21.7,28.3,72.7,27.3,71.7
43,2023,Sum,968,Oral Roberts,12,64,115.289,102.04,13.2487,111.9,101.2,10.7,56.1,48.5,24.6,22.0,13.2,17.6,24.5,72.6,27.4,75.5
44,2023,B10,967,Penn St.,10,32,116.826,101.79,15.0367,115.4,99.9,15.5,55.5,49.2,21.4,25.9,13.7,13.1,18.8,74.9,25.1,81.2
45,2023,ACC,966,Pittsburgh,11,32,115.103,103.837,11.2663,112.5,101.5,11.0,53.2,49.2,32.4,30.6,16.4,16.7,30.4,71.8,28.2,69.6
46,2023,Ivy,965,Princeton,15,16,109.093,103.527,5.5658,107.6,101.6,6.0,52.5,48.0,32.2,29.3,16.9,14.5,28.4,77.2,22.8,71.6
47,2023,BE,964,Providence,11,64,116.847,102.117,14.7305,114.9,100.4,14.5,51.5,50.0,36.8,25.5,16.9,16.9,35.2,73.3,26.7,64.8
48,2023,B10,963,Purdue,1,64,119.362,94.8154,24.5463,118.5,92.6,25.9,52.2,47.2,37.2,19.3,17.0,15.4,38.3,76.7,23.3,61.7
49,2023,WCC,962,Saint Mary's,5,32,113.47,91.5736,21.896,111.7,89.1,22.6,52.5,46.7,31.2,30.3,16.4,19.0,33.1,78.2,21.8,66.9
50,2023,MWC,961,San Diego St.,5,2,111.929,91.6744,20.2549,111.3,90.1,21.2,50.1,47.5,34.3,29.4,17.6,19.6,31.7,74.2,25.8,68.3
51,2023,OVC,960,Southeast Missouri St.,16,68,100.937,108.149,-7.21197,98.7,106.9,-8.2,50.0,51.6,38.3,43.6,17.3,19.0,25.3,72.1,27.9,74.7
52,2023,B12,959,TCU,6,32,112.366,94.3027,18.0633,110.4,93.4,17.0,50.2,47.8,33.9,29.7,17.1,21.9,32.4,69.3,30.7,67.6
53,2023,SEC,958,Tennessee,4,16,112.675,87.97,24.7052,111.1,86.2,24.9,50.3,42.4,30.9,34.9,18.1,22.2,36.8,73.1,26.9,63.2
54,2023,B12,957,Texas,2,8,116.581,92.0106,24.5707,114.6,91.6,23.0,52.7,47.8,31.5,34.5,16.5,22.8,28.3,70.6,29.4,71.7
55,2023,SEC,956,Texas A&M,7,64,114.483,96.1997,18.2834,113.2,94.8,18.4,49.0,47.9,45.9,35.1,18.3,21.0,36.6,69.6,30.4,63.4
